match_id,season,phase,date,winner_id,loser_id,point_diff
1001,1,Group Stage - Round 1,6/10/2025,2,3,6
1002,1,Group Stage - Round 1,,5,6,
1003,1,Group Stage - Round 1,6/13/2025,8,7,3
1004,1,Group Stage - Round 1,,9,10,
1005,1,Group Stage - Round 1,6/14/2025,12,13,6
